Symbol,ID
Cyp8b1,13124
Dab1,13131
Dab2,13132
Dach1,13134
Dad1,13135
Cd55,13136
Cd55b,13137
Dag1,13138
Dgka,13139
Dao,13142
Dapk2,13143
Dapk3,13144
Slc6a3,13162
Daxx,13163
Dazl,13164
Dbh,13166
Dbi,13167
Dbil5,13168
Dbnl,13169
Dbp,13170
Dbt,13171
Dbx1,13172
Dclk1,13175
Dcc,13176
Eci1,13177
Dck,13178
Dcn,13179
Pcbd1,13180
Dcpp1,13184
Dscr3,13185
Dct,13190
Dctn1,13191
Dcx,13193
Ddb1,13194
Ddc,13195
Asap1,13196
Gadd45a,13197
Ddit3,13198
Ddn,13199
Ddost,13200
Ddt,13202
Dhx15,13204
Ddx3x,13205
Ddx4,13206
Ddx5,13207
Ddx6,13209
Dhx9,13211
Defb1,13214
Defb2,13215
Defa29,13218
Defa31,13226
Defa25,13236
Defa3,13237
Defa5,13239
Degs1,13244
Slc29a2,13340
Twist2,13345
Des,13346
Dffa,13347
Ackr1,13349
Dgat1,13350
Dgcr6,13353
Dgcr2,13356
Slc25a1,13358
Dhcr7,13360
Dhfr,13361
Dhh,13363
Diaph1,13367
Dffb,13368
Dio1,13370
Dio2,13371
Dkk1,13380
Dld,13382
Dlg1,13383
Mpp3,13384
Dlg4,13385
Dlk1,13386
Dll1,13388
Dll3,13389
Dlx1,13390
Dlx2,13392
Dlx3,13393
Dlx4,13394
Dlx5,13395
Dlx6,13396
Dlx6os2,13397
Dmpk,13400
Dmwd,13401
Dmc1,13404
Dmd,13405
Dmp1,13406
Tmc1,13409
Dnah11,13411
Dnah8,13417
Dnajc1,13418
Dnase1,13419
Dnase1l3,13421
Dnase2a,13423
Dync1h1,13424
Dync1i1,13426
Dync1i2,13427
Dnm1,13429
Dnm2,13430
Dnmt1,13433
Trdmt1,13434
Dnmt3a,13435
Dnmt3b,13436
Dnpep,13437
Cdk2ap1,13445
Doc2a,13446
Doc2b,13447
Dok1,13448
Dok2,13449
Reep5,13476
Dpagt1,13478
Dpep1,13479
Dpm1,13480
Dpm2,13481
Dpp4,13482
Dpp6,13483
Dr1,13486
Slc26a3,13487
Drd1,13488
Drd2,13489
Drd3,13490
Drd4,13491
Drd5,13492
Drg1,13494
Drg2,13495
Arid3a,13496
Drp2,13497
Atn1,13498
Drr1,13499
Dsc1,13505
Dsc2,13506
Dsc3,13507
Dscam,13508
Dsg1a,13510
Dsg2,13511
Dsg3,13512
Epyc,13516
Dst,13518
Slc26a2,13521
Adam28,13522
Adam18,13524
Adam26a,13525
Adam24,13526
Dtna,13527
Dtnb,13528
Prl8a2,13529
Usp17la,13531
Usp17lc,13532
Dusp2,13537
Dvl1,13542
Dvl2,13543
Dvl3,13544
Dyrk1a,13548
Dyrk1b,13549
E2f1,13555
E2f3,13557
E2f5,13559
E4f1,13560
Ear1,13586
Ear2,13587
Mapre1,13589
Lefty1,13590
Ebf1,13591
Ebf2,13592
Ebf3,13593
Ebp,13595
Ecel1,13599
Ecm1,13601
Sparcl1,13602
Opn3,13603
Ect2,13605
Eda,13607
Edar,13608
S1pr1,13609
S1pr3,13610
S1pr4,13611
Edil3,13612
Edn1,13614
Edn2,13615
Edn3,13616
Ednra,13617
Ednrb,13618
Phc1,13619
Eed,13626
Eef1a1,13627
Eef1a2,13628
Eef2,13629
Eef2k,13631
Efna1,13636
Efna2,13637
Efna3,13638
Efna4,13639
Efna5,13640
Efnb1,13641
Efnb2,13642
Efnb3,13643
Efs,13644
Egf,13645
Klk1b22,13646
Klk1b9,13648
Egfr,13649
Rhbdf1,13650
Egr1,13653
Egr2,13654
Egr3,13655
Egr4,13656
Ehd1,13660
Ehf,13661
Ei24,13663
Eif1a,13664
