kidney_es01_cells_myc_on	kidney_es01_cells_myc_off_24hr	kidney_es01_cells_myc_off_48hr	kidney_es01_cells_myc_off_72hr	kidney_es02_cells_myc_on	kidney_es02_cells_myc_off_24hr	kidney_es02_cells_myc_off_48hr	kidney_es02_cells_myc_off_72hr
ILMN_1244997	5.77523066952449	5.67341865614759	5.74313466077309	5.6121652562234	5.76474422996613	5.81567753716503	5.72559028856891	5.75594472370791
ILMN_2596761	7.09780881652584	6.8135128249806	7.38763567433995	7.33893021429139	8.21345069223539	7.58211148993452	7.39896467452	7.83084522236094
ILMN_2804251	5.83418671781432	5.83384823385048	6.22515662232855	5.89379693796251	6.67709086657035	6.16943367511762	6.07953350396238	6.13555174802886
ILMN_2774882	10.1361901523933	10.557324642836	10.7636365837846	10.514049378751	9.75056947149196	10.3834743986291	10.608730712696	10.510821765799
ILMN_2868927	6.82958916070792	7.15259299846598	7.11442572174648	6.80893068856548	6.76033624766297	7.00616349439546	6.83167113396265	7.13301168306209
ILMN_2756311	6.77308741716015	7.0325846733383	6.42702742002081	5.86769011173019	6.05353924717328	6.5590804901251	6.32459848501984	6.06414737866419
ILMN_2660082	9.28835781232798	8.47714357372763	8.56928643830073	8.45801404834529	9.36211472735362	8.28188773045672	8.15428687168749	8.19239940966629
ILMN_1258421	11.7039815227121	10.5391862007236	10.6412926790447	10.7534170283237	11.7463966460003	10.5554032552547	10.61576422246	10.6175967143274
ILMN_2693905	6.31395337352559	6.06906856093263	5.83649480713393	5.90886843650249	6.15237487482397	6.09898100097468	6.00181352771608	5.99025134670739
ILMN_2621472	12.3874668164074	11.6211989149418	11.8403245519201	11.8538735096807	12.172494781797	11.4474140211983	11.673332321494	11.5830259261736
ILMN_2621471	11.3836189133933	10.8629158746401	10.9291637980331	10.8079776140795	11.0871497868849	10.3963230107377	10.7210890393802	10.605351841309
ILMN_2622829	9.68109894598067	9.64014104668763	10.083934369336	10.0888476045951	9.4491935096041	9.57924281088986	10.2098727706807	10.2624570890445
ILMN_2745954	10.7008426020981	10.0847570755696	10.1810572390342	10.3172527608564	10.5453808132837	10.0587453036193	10.3687262047672	10.5314930701059
ILMN_2734060	10.6072367898619	10.1731056753071	9.81212878023642	10.3178485504618	10.5050900260021	9.63507663132638	9.95800101471946	10.3851377712086
ILMN_2725317	11.5146042823673	10.8072081896121	11.1468136649034	11.8077296359698	11.5640326355312	10.7251025989681	10.8905428316518	11.6776979526102
ILMN_2919489	10.3834743986291	10.0627855655817	9.73219812819411	9.73629137824951	10.512379990881	10.3324272486779	9.32927566340722	9.84394787590528
ILMN_1252407	11.8334030525424	11.5983871316955	10.955944718215	11.0985363950851	11.804359903781	11.9481635168401	10.8578779001565	11.3969242818825
ILMN_2803878	7.10243846684083	6.933998633043	6.39942666238571	6.2181738315502	6.6502253681176	6.94935677369122	6.47353048500671	6.65113912948606
ILMN_2646001	8.14047819081947	7.95106705561497	7.38421735144699	7.37908470758742	7.75452920510452	7.95771933651311	7.5785965795031	7.58211148993452
ILMN_2642876	7.58080755408583	7.48903418339787	6.76033624766297	6.60303627703142	7.02501840957545	7.45898634325639	6.83603240807268	6.7506994671099
ILMN_1238142	10.2942778383414	9.07558724728622	9.12551479138904	9.2379881726547	10.2586163801241	8.62219370190284	8.86281628868556	8.81802536230438
ILMN_1225594	9.16448687538941	11.3020107492279	11.0024732842065	11.3480916486925	8.99671653024414	11.2505307791056	11.2069324644407	11.6258852314256
ILMN_2503787	9.85584237990051	10.2208084720814	10.076542728227	9.31907651943308	9.94254690696766	10.5218889498819	10.248547584803	9.4567665254875
