,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Amelx,0.794949466699894,-0.654352561475801,0.736082926396931,-0.806696925565008,0.419841115842464,NA
A930002H02Rik,0.794949466699894,-0.6543525614758,0.736082926396931,-0.806696925565007,0.419841115842464,NA
AC156636.2,0.794949466699894,-0.6543525614758,0.736082926396931,-0.806696925565007,0.419841115842464,NA
Olfr1258,0.794949466494802,-0.654352561354781,0.736082926362865,-0.806696925416851,0.419841115927843,NA
Rnf133,1.66810301339223,0.703944463871712,0.896645996787127,0.806477866772249,0.419967364973683,NA
Olfr525,2.17738621300146,0.741212163286022,0.915491917117583,0.806440580998208,0.419988855931249,0.525203862729951
AC163350.2,3.78003355661654,-0.697486138492852,0.862911506918098,-0.806364509673159,0.420032704299339,0.525209414670105
Gm43597,34.3621296447721,-0.396536528579827,0.491850145276736,-0.806335371065436,0.420049500833327,0.525209414670105
Gm26762,13.9333169855196,0.472273047320228,0.586095260290763,0.805551564518286,0.420501462984763,0.525739352536943
Mapk8ip2,0.792756006404039,-0.653062999342702,0.735718814531987,-0.805117423821465,0.420751922048419,NA
AC156504.2,0.792756006404038,-0.653062999342702,0.735718814531987,-0.805117423821465,0.420751922048419,NA
Foxe1,0.792756006404038,-0.653062999342702,0.735718814531987,-0.805117423821465,0.420751922048419,NA
Gm14705,0.792756006404038,-0.653062999342702,0.735718814531987,-0.805117423821465,0.420751922048419,NA
Gm37973,0.792756006404038,-0.653062999342702,0.735718814531987,-0.805117423821465,0.420751922048419,NA
Gm37987,0.792756006404038,-0.653062999342702,0.735718814531987,-0.805117423821465,0.420751922048419,NA
Pten,6161.62891963585,-0.679055302605818,0.844408510501449,-0.804838659761019,0.420912789313571,0.526218417250741
Nabp1,456.47384170967,-0.3611539186052,0.448786427728366,-0.804740337735672,0.420969536929371,0.526254158907894
Hist1h2aa,5.53111580366554,0.653128250829278,0.810526500852678,0.804686853271373,0.421000407949587,0.526257549606704
Gm43699,2.29351183709876,-0.738509422317195,0.914453438070838,-0.804291958678672,0.421228380657184,0.526507303778899
Dnajc22,2.64939803519473,-0.750052478138461,0.936792239470627,-0.804071150174001,0.421355885008449,0.526631454218077
Vezt,193.956522952821,-0.439281301223927,0.546637253409778,-0.803703457649399,0.421568256764365,0.526853692448333
Gm37745,10.8833226226011,0.50121525352924,0.623319571684497,0.803665683071799,0.421590078151042,0.526853692448333
Gm12720,1.96181438616153,-0.752738137771969,0.936528856269033,-0.803580746875981,0.421639145991936,NA
Mkln1os,4.78064335872515,0.64659536796091,0.803667995696315,0.803573335744987,0.421643427578679,0.526885130918557
AC153962.1,16.5237411075371,0.459178824168571,0.571450548793766,0.803274769537641,0.421815937586346,0.527065458150112
Gm43994,8.99529215354936,-0.707130585517914,0.880627981202562,-0.803091477158888,0.421921863472043,0.527162568955008
Ly75,503.915393479033,-0.382089289616968,0.475944839624471,-0.802796419218874,0.422092412174012,0.527333949423299
AC156952.1,4.45269238120057,-0.675916640229974,0.839852386168935,-0.802756545906446,0.422115462752023,0.527333949423299
Vps51,1114.63299667749,0.148400692803594,0.185018416355674,0.802087014498732,0.422502625971649,0.527782339200866
Fn3k,12.142013576556,0.603771832559559,0.75344926424787,0.801853579253066,0.422637661131271,0.527915736457848
Tgfb2,5.69967149259223,-0.612498584342923,0.762443636532345,-0.801627395935486,0.422768525384635,0.528043906363259
Tmem202,2.12574917558511,-0.742848892974283,0.933208878249299,-0.801472677034832,0.422858055704987,NA
Rps3,46773.6734533251,0.16585618531074,0.206939437988696,0.801472099716736,0.422858389799211,0.528120853178125
Gm43589,4.48205565263655,-0.665698657099368,0.829113826438606,-0.801373736972272,0.422915314617474,0.528146819027972
Ctf2,22.8615713755144,-0.389249661016903,0.485626371071767,-0.801338514457924,0.422935699800558,0.528146819027972
Gm44283,3.20491947431562,0.727232616598467,0.907523397329512,0.80047461720317,0.423435864186481,0.528736077088337
Gm13986,1.90711263142827,-0.743719175722186,0.924672724957537,-0.80030309793107,0.423535208637969,NA
Fgd1,8.65515567619389,-0.586830144958207,0.732409980011827,-0.799846187740885,0.423799918873888,0.529155310250808
Eif3f,10852.1446956359,0.105239245411173,0.131586563838446,0.799771996359751,0.423842910671384,0.529173636016935
Lhx1,2.03845446781725,-0.734752619188938,0.93529299418439,-0.799642072806282,0.423918203824589,NA
Tmem52b,1.51865309793595,0.723583447976346,0.917216636148589,0.799617106689494,0.42393267305688,NA
Cat,2276.94244603195,0.132335283352495,0.165569421439352,0.799273599191964,0.424131783795954,0.529498925007521
Gm14435,5.12235656515827,0.713128111709019,0.900934037710634,0.799223311267703,0.424160937284307,0.529499950364465
Nphs2,1.02289121232718,-0.684250867133845,0.857099228358551,-0.799029493275542,0.424273310619433,NA
Pigs,1888.86829504267,0.133192949147499,0.166788066496587,0.798576204277325,0.424536190062546,0.529915491820243
Gm28590,5.31275297666992,-0.646717763127446,0.808484641579483,-0.798551500410508,0.424550519504762,0.529915491820243
Ccdc92,176.225159328309,0.263754795473896,0.330372309398064,0.79834042114151,0.424672967255685,0.53003292941375
Thnsl2,10.3230806126034,0.611199506076723,0.771107578845546,0.798264701158219,0.424716897686438,0.5300442676522
CT030142.1,2.52513623384684,0.744059165176308,0.936585135191093,0.798226995639918,0.424738774271462,0.5300442676522
Edn1,2.63172732430697,-0.744696383350738,0.93679226598731,-0.798094201294615,0.424815826241689,0.530105026148824
E130018O15Rik,1.80679732705828,-0.74477930595682,0.928675035535342,-0.797971462925854,0.424887050641468,NA
Gm37244,4.43386835848932,-0.666137290556324,0.832962981445856,-0.797704010644256,0.425042275890725,0.530344455224454
Obsl1,4.92729615098182,-0.661876507723535,0.831174291024705,-0.797665801247653,0.425064454749162,0.530344455224454
Gm43684,73.9383152703562,-0.29344190581107,0.368002074577905,-0.797347420743856,0.425249286779556,0.530539647571637
Vmn1r61,1.34708318771685,0.744295493413555,0.933918826020115,0.797119283954209,0.425381757751421,NA
Gm12117,1.34708318771685,0.744295493413554,0.933918826020115,0.797119283954208,0.425381757751421,NA
Gm26559,3.08684338138365,-0.744399886039074,0.935387444349749,-0.796999678152644,0.425451218240425,0.530756145630819
AC115297.1,2.00761546432946,0.7383898725384,0.932662513924074,0.796900500531827,0.425508820184417,NA
Adprm,309.998241496,0.207788015669999,0.260958763414601,0.796249234771991,0.42588718568952,0.53124564641073
Fndc4,16.5966920638148,-0.591010989965445,0.745886312074246,-0.7962264086285,0.425900450541601,0.53124564641073
Trav6-5,4.95307236957405,-0.740370910262133,0.936474466879713,-0.795919472523146,0.426078842328692,0.531432693825475
Cars2,735.338070305554,0.147243576891779,0.185060535954019,0.795650917718282,0.426234962589978,0.531551448284311
Gm42890,46.2905533320949,0.31285657956119,0.393175172294768,0.795629748557268,0.426247270379188,0.531551448284311
Med23,1034.94004915006,0.160991485121563,0.20234954143714,0.795608920349228,0.426259380140027,0.531551448284311
Phf2,2869.21698235784,-0.256882573863234,0.322951848992895,-0.795420390846397,0.426369002500379,0.531621989884508
Pnoc,3.54193349418412,0.700052371865504,0.878873697485541,0.795413791627933,0.426372839979608,0.531621989884508
Mybph,1.0536746557391,-0.669134682823284,0.851681009520715,-0.794985928088352,0.426621687800357,NA
Ankrd23,180.53340291999,-0.184409300190653,0.232006072083787,-0.794839320130134,0.426706975281435,0.532003112810856
Gm37479,1.80009391764979,-0.741757056776703,0.928666422954902,-0.794612624321706,0.426838872507503,NA
Olfr1202,5.2917752982844,-0.641184588257822,0.805560419984383,-0.794532592136536,0.42688544288676,0.532190116877504
Gm42568,1.02728093509193,0.655526225426684,0.858949686136081,0.794458811854317,0.426928377934427,NA
Aak1,2418.77667865324,-0.185051497397649,0.233009280133322,-0.794182078590915,0.427089440074801,0.532408921128466
Rbms3,0.68796230926316,-0.586380117201365,0.801136156187411,-0.793902819753753,0.427252008017633,NA
Mccc1,277.969640816136,-0.175731701303947,0.221361226455234,-0.793867299187713,0.427272688569955,0.532601832634155
Cage1,46.7390736363883,-0.292942148871247,0.369012635697413,-0.79378618158022,0.427319918520951,0.532625180554759
Fhl1,3.64561718645414,-0.739779790264918,0.935687290505335,-0.793533392009174,0.427467122336298,0.53276122115486
Gm43196,7.45610782666845,-0.61030083137031,0.768299452700727,-0.793482774766711,0.427496601196009,0.53276122115486
Wrn,562.225569198197,-0.232598686434406,0.293148102007075,-0.793451900500433,0.427514582570466,0.53276122115486
Oas1e,0.85712695994571,-0.727381541449946,0.888039231355947,-0.79298493924897,0.427786597565638,NA
Gm6712,38.0994801004695,-0.323744311553785,0.408666860113617,-0.792136445564116,0.428281121253494,0.533680882458097
Cnn3,755.890354286463,-0.380477249502113,0.480343421073395,-0.792052369410281,0.428330141080717,0.533706380869225
Dmp1,0.830536945517253,-0.616346446745554,0.720459528565775,-0.792007510083782,0.42835629723348,NA
Gm20460,0.830536945517254,-0.616346446745553,0.720459528565775,-0.792007510083782,0.42835629723348,NA
Ugt1a10,0.830536945517253,-0.616346446745554,0.720459528565775,-0.792007510083782,0.42835629723348,NA
Kxd1,1255.63892977633,0.11915316775703,0.150464708836691,0.791901386915003,0.428418178228914,0.533780488861345
Slc9a6,339.961350459037,-0.13919698975217,0.175811407463959,-0.791740572706082,0.428511959777989,0.533861743636479
Sgcb,127.888587513287,0.270762662896479,0.342005093358122,0.79169057666307,0.428541118256667,0.53386248227562
Hnf4a,2.31613193766884,-0.690451000429445,0.930767065613722,-0.791378650398588,0.428723064622737,0.533997995951308
Gm14565,15.5428579329566,-0.438485983794293,0.553837595511754,-0.791367545936198,0.428729542675734,0.533997995951308
Efnb3,18.6151841623961,0.461253375972873,0.582746070518123,0.791357135167504,0.428735616097671,0.533997995951308
Cog4,617.151066627471,0.13630191660729,0.17226197254447,0.791249856483118,0.428798203124123,0.534040358402421
Sox18,2.93557098913789,-0.735149942219981,0.928257607878002,-0.791150261320071,0.428856312293978,0.534077138699417
AA543186,7.12080007098611,0.616285453116826,0.778576676447034,0.790989668995508,0.428950020129586,0.534158244016647
Uimc1,1226.44952157474,-0.120958316809485,0.152931395781685,-0.790931669755704,0.428983866411752,0.534164799744768
