liver_myc	kidney_myc	lung_myc	lung_mycras	lung_ras	tall_myc	eumyc_myc
226781	235043	246278	225020	56047	13057	18037
227154	235050	260305	225207	56175	13058	18119
227231	235135	26364	225341	56213	13136	18173
227393	235169	263803	225523	56226	13138	18405
227622	235283	26431	225608	56332	13142	18412
227696	235493	268709	225642	56376	13143	18426
22770	235527	268721	226041	56405	13196	18479
227731	235582	269016	226265	56429	13197	18514
22782	236149	269132	226352	56434	13198	18515
22784	236794	269209	22637	56448	13207	18546
228607	236798	26950	226594	56496	13209	18569
229228	236900	269643	226652	56508	13388	18578
229285	237320	270091	226744	56788	13400	18583
229517	237387	270192	227659	57257	13421	18604
229599	237542	27357	227753	57277	13492	18605
229782	23827	27360	227929	57349	13498	18613
230103	23831	27528	22793	57355	13508	18626
230558	238673	27660	228357	57435	13518	18636
230597	23882	29820	228550	57436	13522	18646
230696	23897	29869	228602	58185	13537	18687
230766	23923	317757	228662	58187	13548	18703
230779	239283	319179	228778	58200	13549	18708
230857	23945	319180	228788	58996	13590	18718
231070	23950	319182	228801	59006	13591	18719
231103	239606	319183	229474	59056	13609	18725
231238	23971	319184	229595	59093	13610	18726
231396	23972	319186	229600	59095	13619	18733
231510	23985	319317	229603	59289	13641	18751
231583	240168	319387	229900	59308	13642	18768
231691	24017	319613	230316	60322	13649	18783
231832	24047	319765	230379	60363	13650	18796
231903	240549	320024	230673	60596	13653	18807
231999	24067	320111	230726	64075	13654	18812
232146	240753	320365	230789	64082	13655	18987
232164	241303	320508	230904	64817	13660	19009
232232	241612	320661	231070	64929	13661	19016
232371	242509	320712	231147	64933	13666	19017
232430	242653	320736	231162	65256	13713	19024
232493	243755	320751	231633	65956	13714	19041
232533	244373	320974	231931	65962	13730	19057
232714	244421	320981	231986	66141	13733	19074
233016	244757	327747	232016	66158	13807	19094
233080	245297	328424	232023	66175	13813	19201
233328	245847	328949	232201	66353	13819	19214
233752	245945	329416	232431	66395	13831	192188
234199	246277	329831	233103	66402	13836	19223
234564	246691	330721	233274	66610	13848	19224
234673	246694	353156	233280	667370	13850	192285
234683	246700	380683	233335	66793	13852	19229
234854	246738	380713	233733	66797	13853	192292
234878	246787	380842	233744	66849	13860	19241
235043	252837	380916	234267	66859	13982	19248
235047	252864	381270	234356	66866	13998	19250
235293	26367	381633	234395	66873	14017	19264
235493	26371	382077	234564	66895	14025	19271
235674	26378	407831	234797	66930	14026	19274
237082	26379	414801	234915	67085	14048	192775
237320	26380	433801	235281	67122	140497	192950
237387	26381	434756	235527	67155	14055	19332
237781	26384	434794	235674	67198	140577	193385
23792	26399	436022	236920	67268	14062	19342
238130	26420	436062	237759	67416	14067	19344
239037	26433	442801	23792	67473	14071	19354
23923	26450	442827	23796	67622	140742	19401
239447	26458	50490	23797	67661	140780	19414
23945	266645	50525	23831	67689	140795	19419
23947	268566	50766	23833	677884	14086	195180
23972	268663	50780	238393	67866	14102	195646
23992	268709	50876	23849	67888	14123	195727
24017	268782	50918	23871	67916	14128	19645
240327	268860	50931	239027	67971	14129	19696
240549	26896	52150	239217	68024	14130	19697
24059	269132	52250	239368	68203	14132	19698
24060	269211	52357	239435	68262	14133	19703
24068	269344	52589	23945	68270	14159	19730
24071	269378	52637	23962	68311	14168	19735
240753	269423	52668	239743	68453	14190	20130
241274	26944	52685	240168	68458	14191	20148
241494	270076	52829	24051	68519	14198	20229
242362	270151	53312	24059	68520	14218	20230
243085	270166	53313	240725	68606	14219	20238
243382	270190	53320	24099	68625	14245	20249
243537	27045	53374	241041	68659	14247	20339
243881	27052	53376	24110	68753	14254	20354
243912	27057	53614	241116	68764	14255	20363
