liver_myc	kidney_myc	lung_myc	lung_mycras	lung_ras	tall_myc	eumyc_myc
Igf2bp1	Eif4a1	Tmem55b	Itih2	St3gal4	Slc39a6	Ampd2
Igf2bp3	Eif4ebp1	Dtymk	Itih4	St6galnac4	Me2	Cpa1
Eya3	Elf3	Scara3	Itm2a	St3gal5	Lars	Itga1
Ezh2	Emb	Tmpo	Itpr3	Slc12a2	Psmg2	Clps
F2rl1	Adgre1	Tpi1	Junb	Slc13a2	Wdr74	Cela1
Rem2	Ercc1	Tpmt	Kcnk1	Slc2a1	Rrp12	Amy2a5
Fabp3	Ercc2	Traf4	Napsa	Soat1	Macrod1	Gusb
P2ry14	Erh	Phlda2	Kif11	Serpine2	Yars	Kif22
Fen1	Igf2bp3	Tsta3	Kif5c	Spint1	Psat1	Dut
Fgd1	F2r	Tuba1c	Kng1	Spp1	Hat1	Nop2
Fjx1	F2rl1	Umps	Krt14	Thsd4	Acaca	Fdps
Foxm1	Rem2	Ung	Krt18	Vcpkmt	Atf5	Hba-a2
Fmr1	Fbln2	Vars	Krt8	Sgms1	Eprs	Pmch
Xrcc6	Fbn1	Ggact	Lad1	Fam20a	Ssr1	Acat2
G6pdx	Fcgr3	Vill	Lamb3	Bhlhe40	Ece2	Adarb1
B4galnt1	Fen1	Eif3l	Lamc2	Stxbp2	Il1rl2	Chaf1b
Gart	Fga	Ttll12	Lbp	Snx30	Snrpd2	Adam33
Kat2a	Akr1b8	Zmat3	Lcn2	Sdc1	Sf3b4	Rpl10
Gcnt1	Fgl2	Rin1	Ldha	Mgst2	Mrpl10	Dlx1as
Gdf1	Fgr	Slc23a3	Rps2	Paox	Mrpl41	Lyve1
Arhgdig	Ctgf	Dars	Lmnb1	Slc44a3	Mrpl30	Impa2
Ggt1	Fjx1	Dyrk3	Lmnb2	Atg9b	Nsd2	Actl7a
Galk1	Fkbp10	Smyd2	Ltbp3	Tmem82	Cdc20	Acta2
Gls	Foxm1	Zfp64	Stard5	Tmem51	Cenpf	Acvr2b
Gnb1	Fos	Rpp38	Ly6d	Sertad4	Srsf9	Cygb
Rack1	Fosl2	Dnajc2	Zfp704	Arfgef3	Shmt2	Adam12
Gngt2	Brd2	Pdk1	Hook2	Hkdc1	Cstf2	Adam15
Gpc3	Fst	Large2	Erdr1	Tspan8	Eif2b3	Adam3
Cdca3	Fzd6	Slc35c1	Bnipl	Phlda1	Med21	Adam8
Haspin	Xrcc6	Smox	Mal	Tns4	U2af1	Adcy6
Guca2b	Gart	Sdcbp2	Mcm2	Heatr1	Taf9	Adcyap1r1
Guk1	Kat2a	Trib3	Mcm5	Tgfbr1	Atic	Adk
H19	Gdf1	Ddx27	Mcm6	Mboat1	Mthfd1	Cfd
H2afx	Arhgdig	Acad9	Mcpt1	Tgif1	AU020206	Gm17586
Hk2	Gja1	Nol6	Mcpt8	Tgm1	Gm10310	Gm43560
Hmgn2	Gjb3	Tmem268	Mettl1	Lhfpl2	Gm29666	Aebp1
Hmga1	Gli2	Pabpc4	Mgmt	Tk1	Gm16001	Angpt2
Jpt1	Gnai2	Sel1l3	Mif	Pglyrp1	Fam210a	Gm4737
