liver_myc	kidney_myc	lung_myc	lung_mycras	lung_ras	tall_myc	eumyc_myc
18140	17390	56292	208449	433470	11546	12578
18148	17427	56307	20856	433904	115488195	12579
18150	17463	56321	20878	50784	11564	12585
18173	17474	56347	20911	50790	11566	12613
18226	17476	56354	20917	50915	11568	12614
18263	17533	56361	209354	52009	11615	12615
18432	17535	56412	20969	52024	11637	12628
18483	17684	56421	20972	52033	11639	12649
18515	17685	56428	20973	52076	11640	12655
18538	17755	56449	211666	52118	11647	12704
18591	17768	56520	212503	52331	11651	12737
18616	17865	56524	212679	53381	11656	12741
18669	17869	56807	213208	53416	11658	12759
18693	17873	57377	213539	53419	11668	12793
18717	17886	59028	213742	53897	11674	12816
18746	17925	59053	21379	54197	116748	12825
18817	17965	60315	213948	54325	116870	12826
18824	17972	60507	213989	54426	116905	12827
18938	17975	622339	214359	546038	11692	12831
18969	18008	622402	21454	54608	117109	12832
18971	18011	64177	214572	54722	11737	12833
18972	18049	64292	214791	55943	11739	12834
18973	18113	64655	215387	56279	11740	12835
19041	18117	65019	216019	56316	11757	12842
19045	18130	654824	21672	56456	11758	12843
19047	18140	66120	216829	56620	117592	12857
19075	18148	66143	216877	56644	11769	12858
19076	18150	66166	217011	56738	11777	12861
19099	18169	66171	217169	56807	11792	12864
19132	18173	66211	217216	57276	11799	12866
19152	18218	66356	217666	57370	11800	12873
19159	18226	66387	21771	57738	11803	12927
19205	18301	66409	21781	58182	11811	12933
192119	18391	66412	21812	58226	11815	12945
192160	18414	66596	218121	58809	11821	13003
192187	18432	66614	218138	59083	11826	13011
192287	18476	66617	21815	622339	118451	13052
19240	18483	66667	21816	626834	11877	13078
192976	18551	66687	21849	629756	11891	13121
19340	18591	667609	21877	64138	11927	13123
19352	18611	66809	219024	64292	11932	13167
19355	18626	668661	21915	64406	11938	13175
19361	18636	66902	219151	654824	11946	13199
19367	18741	66912	21946	66079	11947	13200
19376	18746	66913	21973	66166	11949	13340
19385	18793	66973	21983	66260	11950	13346
194126	18810	67026	21991	66284	11951	13353
194231	18817	67059	22017	66355	11957	13361
19687	18824	67097	22032	66725	11958	13384
19703	18938	67105	22041	66863	11981	13411
19716	18969	67134	22051	66902	11983	13419
19718	18971	67177	22059	67073	11987	13433
19862	18972	67242	22113	67177	11989	13497
19876	18973	67326	22121	67182	11991	13511
19891	18986	67337	22122	67307	12017	13555
19941	19041	67442	22134	67442	12018	13602
19943	19072	67458	22146	67512	12021	13605
19944	19092	67582	22171	67603	12028	13618
19981	19139	67603	22172	67862	12033	13636
20016	19152	67619	22247	67874	12034	13664
20017	19171	67760	22256	67963	12035	13665
20019	19205	67832	22321	68087	12036	13681
20020	192120	67862	223267	68283	12040	13706
20042	19215	67895	223646	68404	12041	13717
20085	192160	67903	223691	68498	12055	13723
20088	192176	67936	22381	68775	121022	13731
20091	19240	67949	223921	68915	12144	13732
20116	19241	68052	22401	68949	12162	13804
20133	19245	68106	224079	69035	12168	13805
