"ID","Symbol","logFC","P.Value","adj.P.Val"
545288,"Cyp2c67",-5.58726673982331,2.42742906152852e-09,2.77125163094659e-07
12895,"Cpt1b",3.20465948087134,2.48125792369062e-09,2.81074589448768e-07
18032,"Nfix",-2.15424032410018,2.52991309335877e-09,2.84381692563475e-07
68126,"Fahd2a",-1.65151296090328,2.57200001899057e-09,2.86905620439002e-07
270151,"Nlrx1",-1.90007177586074,2.66510922321044e-09,2.95039705142229e-07
232371,"C1rl",-2.91511592437961,2.73954697835761e-09,3.00999999960449e-07
17844,"Mup5",-6.57926547880373,2.92410335621333e-09,3.18880017495115e-07
93734,"Mpv17l",-2.06333981571833,3.02960827130024e-09,3.27938264211189e-07
71963,"Cdca4",2.20911600624599,3.08290491126875e-09,3.31253599032134e-07
224530,"Acat3",-3.04333951532572,3.1778769311653e-09,3.38965807263638e-07
105887,"Ugt3a1",-5.63602110178456,3.25318309561334e-09,3.44483801276795e-07
16881,"Lig1",4.13831458779341,3.35573641328459e-09,3.52786879189408e-07
319168,"Hist1h2ah",4.8882305097034,3.38253749368915e-09,3.53064431394854e-07
27053,"Asns",5.56303092420584,3.49425287985681e-09,3.61382036364752e-07
223672,"Apol9a",-4.32102318659794,3.51168474398103e-09,3.61382036364752e-07
17219,"Mcm6",4.93520719634861,4.04903189335789e-09,4.13765755647824e-07
216136,"Ilvbl",-1.3019917378538,4.12934471917355e-09,4.16430640212095e-07
321018,"Serpina4-ps1",-4.93018545882061,4.13210448441482e-09,4.16430640212095e-07
53605,"Nap1l1",2.63761859110704,4.56203383152079e-09,4.56609591643927e-07
71361,"Aifm2",-1.76802787635726,4.72307441751501e-09,4.69512152810522e-07
434083,"Mug4-ps",-8.29734131280774,4.81593233409176e-09,4.75508237824884e-07
384009,"Glipr2",4.02795703510866,4.92611656288474e-09,4.83123096197549e-07
66901,"Proz",-2.70932277111707,4.96608351817219e-09,4.83795856340335e-07
71819,"Kif23",4.58780993671269,5.03466700323484e-09,4.87229065683912e-07
67956,"Kmt5a",1.72282320567616,5.15307574574131e-09,4.92942328244507e-07
75909,"Vmp1",-1.7092171734044,5.16116993234856e-09,4.92942328244507e-07
231903,"Urad",-3.42613454732207,5.3855524287353e-09,5.11032971695512e-07
69146,"Gsdmd",-1.97630408956809,5.52913624555456e-09,5.16491433713066e-07
70645,"Oip5",2.42620741783744,5.50237191709611e-09,5.16491433713066e-07
76459,"Car12",4.56567702644834,5.54911072968941e-09,5.16491433713066e-07
319173,"Hist1h2af",5.04125212223164,5.94119913446545e-09,5.49485714885719e-07
381531,"Mup21",-7.69598888743975,6.0379485908146e-09,5.54921652563357e-07
268697,"Ccnb1",4.78642936577245,6.1496861279037e-09,5.61658521169105e-07
80290,"Gpr146",-2.6744209234462,6.24497349850655e-09,5.66818619463827e-07
71724,"Aox3",-6.99554191215566,6.56557028217367e-09,5.92238756379036e-07
70484,"Slc35d2",-4.10862492012397,7.04966472532865e-09,6.32004605099556e-07
