"ID","Symbol","liver_normal_batch2_rep1","liver_normal_batch2_rep2","liver_normal_batch3_rep1","liver_normal_batch3_rep2"
68348,"Serpina1f",6.7197246019599,6.91442297667962,7.04565048614205,6.74423334476177
68349,"Ndufs3",11.5734330804315,11.9307300456498,11.5722375668364,11.7273587846197
68350,"Mul1",8.74211136539258,8.27130181027619,8.28337020539654,8.29019983721924
68352,"Aspdh",11.679413861626,11.7339969550335,11.1126509065014,11.3556610677242
68355,"2010204K13Rik",6.37381950669967,6.66418368277296,6.78544486646292,6.45060118457478
68364,"0610030E20Rik",8.04389170134603,8.1087982275871,8.18208015516926,8.28240531661445
68365,"Rab14",12.3170848036861,12.2215370114042,12.2104110576357,12.5936717162429
68366,"Tmem129",8.68478878557969,8.52979835563664,8.65069429839339,8.62405430319729
68371,"Pbld1",11.5872659968681,11.5933208906235,10.8396693763586,11.5837722818264
68375,"Ndufa8",11.7815725732249,11.8845604069844,11.4874145070538,11.7361820071144
68379,"Ciz1",7.96023361535029,7.83790359666466,7.80844852009848,7.91040966069294
68385,"Tlcd1",9.66057672333272,9.77861980676735,9.40542679086498,9.77731417686438
68394,"Ccdc163",7.44001931663863,7.32527096482773,7.15128431608649,7.27737098988182
68396,"Nat8",8.97553825206056,9.08605880382039,9.29336588784368,9.77699405343688
68401,"G6pc3",6.79773043533741,7.05124470359833,7.22294583107213,7.18511955825016
68404,"Nrn1",15.1122919456296,15.3689229696655,14.664196823442,14.8763514370151
68409,"0710007G10Rik",8.1445355765312,8.25968595022975,8.04476962257813,8.38013929600093
68416,"Sycn",6.83349248570487,6.94052007995458,6.69299186060412,6.74285231308072
68420,"Ankrd13a",8.31244248406528,8.41436427302471,8.3192207435936,7.94137976444619
68421,"Lmbrd1",7.13342305997489,7.07836255121638,7.74764422885791,7.53566993248718
68423,"Ankrd13d",6.89058705937575,7.01811345732875,7.21999990434205,7.22084592483108
68427,"Slc39a13",7.66910453214155,7.9285108081586,7.8057820313821,7.83031888463315
68431,"Fbxl15",8.67480352691961,8.58567207607563,8.11867194542777,8.30176732620288
68434,"Gata6os",7.85504283906393,7.59275542316601,7.88667372786881,7.58361318285888
