"","lung_tumor_kras_rep1","lung_tumor_kras_rep2","lung_tumor_kras_rep3","lung_tumor_kras_rep4","lung_tumor_kras_rep5"
"ILMN_1235735",7.52899123640602,7.57577557987477,7.42846486375625,7.663024332845,7.73072485778769
"ILMN_2661340",7.75309136467136,7.87332875382233,7.9527958385492,8.43470640624684,7.50878516206451
"ILMN_2663930",7.15146057192876,7.37756302558415,7.2580065130416,7.67838006510912,7.09394568557658
"ILMN_1219074",8.00581750376858,7.42500604148493,7.90130060763418,7.45822716239472,7.24656247699889
"ILMN_2908122",7.02738769405276,7.17910045673309,6.95579518672299,7.69996278698978,7.31413002977557
"ILMN_1253797",9.73257553782745,9.38922127168156,9.38524227512026,9.61716897745573,9.13482736963303
"ILMN_2677921",10.672204323964,10.8570770843312,10.9251788823252,10.8558807189038,11.244311799633
"ILMN_2961282",7.7627142273006,7.58030568283236,7.38229978900958,7.44387597140046,7.41621695559399
"ILMN_2715848",7.19284759049794,6.85479048185678,7.29553937040683,7.06481011588777,7.0898145849012
"ILMN_3153010",6.94902417993108,7.24067209623967,7.26162483557912,7.28932729381198,7.06602189900782
"ILMN_2620270",7.17367713630342,7.15867279685345,7.1428409853221,7.06642560063556,6.95448714700532
"ILMN_2888786",10.5728186306107,10.1327567570728,10.2346527988461,10.2691924406944,10.5728186306107
"ILMN_2443464",7.14669594803066,7.2327806566483,7.23445820921045,7.34966825491003,7.53729121305382
"ILMN_1224516",11.3425851616719,10.915197820756,11.3087265317206,11.4046027457796,11.3889926588261
"ILMN_1249227",7.09090634523191,7.18149394003237,7.42248531567029,7.33670180694747,7.63535536070105
"ILMN_2918875",7.45393934618032,7.02111878641319,7.11243950678155,7.1084591158492,7.15522934507457
"ILMN_1256817",9.72487618668952,9.52434581646254,9.97580319648783,9.7959584650945,10.7365234897446
"ILMN_2953700",11.1356090954699,11.0026612113367,11.0491806380222,10.9541963103869,10.6277333583813
"ILMN_2671572",10.440363097687,10.5108630469859,10.3635085394774,10.2797338954508,9.80808936634501
"ILMN_1228414",10.1320016086086,10.0485209315469,9.72125943177452,9.82920739482664,9.78720878922135
"ILMN_2938893",9.09416017959884,9.44828411092858,8.73200838966687,8.96666766486705,8.84596041829329
"ILMN_3076864",7.65633547419873,7.93088514710565,7.3887707352288,7.60223490134106,7.83711540947925
"ILMN_3155789",10.2964574073712,9.88911414733171,9.80176897508171,9.74424520546934,9.50199263935435
"ILMN_3008748",7.33865282638746,7.6381643649027,7.83401667961903,7.84339112854014,7.45527584136117
"ILMN_1253650",8.23619362042353,8.7912443024565,7.86662211772344,7.88746815277811,8.1176917963945
"ILMN_3075712",8.32033517930228,7.45064422742096,7.71261297493649,8.04627140659912,7.82769995926402
"ILMN_3154810",12.6875588520846,12.5199540800098,12.468022582516,12.7813789254223,12.3053314679201
"ILMN_2604086",7.04483806230472,6.85268555234858,6.90546222177688,7.09631984141828,7.12960501115251
"ILMN_2735792",8.52214012262777,8.60554896576629,8.43332462671593,8.38472979639037,8.34953004322403
"ILMN_1251870",9.10505730308516,9.42702469543634,9.17774653672091,9.10800164646591,9.13883174391722
"ILMN_2843698",8.86548197571514,8.70524358481477,8.75701490990423,8.64781815592715,8.48699838370327
"ILMN_1254840",9.72593602269542,9.67742235241904,9.72475897108067,9.56751645214507,9.86976732633418
"ILMN_2641613",7.51219725153385,7.50173768526152,7.02070220379105,7.24860954763695,7.42728665117677
"ILMN_1217302",7.202950258684,7.37128658921563,7.05066493825338,7.60885543478442,7.32474311049442
"ILMN_1216116",12.3878473683907,11.8663468269616,12.0450194419849,12.0975774669681,11.7661691216856
"ILMN_1248397",8.54649660309211,8.10592487298652,8.2962279528911,8.14513608828176,8.42146001141505
"ILMN_2610600",9.76392814116458,9.95847568505897,9.94716204877511,9.89644593787699,9.7371839543311
"ILMN_2880246",9.82242145528789,10.1392235752691,10.036740274304,10.2181015362317,10.0755627137407
"ILMN_2707063",7.51634023696055,7.03183902228959,7.16835872722389,7.06481011588777,6.95934996472661
"ILMN_2603545",7.88052100285771,7.86128080358871,8.10973273047766,8.1802821525626,8.02085843637111
"ILMN_1220530",7.19284759049794,7.46240002269178,7.13679891077335,7.2472154816577,7.19284759049794
"ILMN_2610835",8.08573800216766,8.47360429070444,8.17936486748342,8.53510523745664,8.72587745912023
"ILMN_2952114",11.1422865850613,11.3817254394837,11.0861694053045,11.117764835821,10.8045747349738
"ILMN_2732689",11.3922067206699,11.6416086823297,11.441430178667,11.408263390132,11.3571052167989
"ILMN_2689642",7.34645832906644,7.45984141697577,7.11025491396157,7.07581337746145,7.13121390508627
"ILMN_2695149",8.48207684634614,8.74409800992804,8.47026484962499,8.79367442629616,8.37962204497757
"ILMN_2728385",8.14363830992204,8.36909291459838,8.48595506115706,8.56395889681009,8.44633378093596
"ILMN_2853225",7.94714378068466,8.00116185957616,7.80229420852348,7.72498273807037,7.49420557545074
"ILMN_2995370",8.79407058551256,8.52461517014347,8.46954007211159,8.31550339813988,8.43107967405788
"ILMN_2940785",8.34915680552039,8.44457493275604,8.36755126021612,8.4174042395527,8.41309898491526
"ILMN_3160398",7.24088075263703,7.51584764782681,7.30936266180898,6.97495227353405,7.09918341007929
"ILMN_3000456",10.2683592395554,10.3435327423759,10.1403984312084,10.1917224056057,10.1610137535542
"ILMN_3000465",8.1839919795518,8.07008739303923,8.14239429099413,8.04094036264837,8.08318011991599
"ILMN_2907928",10.3871085858387,9.84571545443533,10.193794839636,10.3227661361532,10.2419235821954
"ILMN_1249765",8.72333030668565,9.60303514540631,9.49904859773388,9.38336679626438,9.43448488918094
"ILMN_2877909",7.23550568986409,7.51865315567339,7.57487730828615,7.42820312188052,7.27676416846022
