"","liver_tumor_myc_batch1_rep1","liver_tumor_myc_batch1_rep2","liver_tumor_myc_batch2_rep1","liver_tumor_myc_batch2_rep2","liver_tumor_myc_batch3_rep1","liver_tumor_myc_batch3_rep2"
"ILMN_2615575",6.47940785997476,7.48915460568712,6.90696972683136,7.02287459449187,6.99301713356244,7.01426347643811
"ILMN_2736407",6.50731725051039,7.13475166539432,6.83085029995587,6.77841151784685,6.81408236421975,6.86079364978697
"ILMN_1219017",12.4713948922687,8.89875937699658,9.48403119447951,12.0153103176662,10.3132789808267,10.927688045558
"ILMN_1237645",6.46962560518466,6.59848413169752,6.49794038695699,6.57910411325836,6.32565692673311,6.73351804681593
"ILMN_2704186",6.91467353793507,7.91157111504203,6.96350447413185,8.21034788751802,6.96812982255424,7.51050712175009
"ILMN_2704184",7.24459284932948,7.01080572160301,6.72464305214935,7.81475637449712,6.65948595628683,7.31191175893169
"ILMN_2428798",9.50521760956749,8.00582310945048,8.0732312959011,10.2925907091374,8.35587112702953,8.30038830596787
"ILMN_1252809",8.4757496524918,8.24864674878625,8.29906964034121,9.05772748751554,8.27636012009637,7.81563555460298
"ILMN_2715216",10.181481412419,7.99974941069097,9.31061844204023,9.17020742565993,8.76953460221755,9.11210117630215
"ILMN_2749935",7.31963292659006,6.6107420553428,7.45373788794846,6.85912749481831,6.82613331690964,6.7217512641893
"ILMN_2419078",8.36451078093018,8.45002419217733,8.69302253148302,7.77104075487195,8.42193258553707,8.74307407432298
"ILMN_2948241",6.91761206403216,6.79423769070057,7.16584397580769,6.90751966622662,6.8137242862989,6.53661158113228
"ILMN_1236488",6.58500366439514,6.67140298620247,6.57340002610534,6.58585876841937,6.70330626131092,6.6502482453596
"ILMN_2818396",11.0817808575083,8.38225826382871,9.76485356952859,9.32474985608747,9.52284017261212,10.3156346444458
"ILMN_2601946",10.2977752333276,7.86728674984176,8.60456448133399,9.70162677661684,8.53345437590627,9.49047833248165
"ILMN_2593994",7.35920727270613,10.2774341827766,8.6471953641521,8.29731296358595,9.28004142881425,9.04873315441315
"ILMN_3103689",9.25171644189196,8.20731365631872,8.81333207613923,7.88955581598677,9.44881774789214,8.76635455640322
"ILMN_3030392",10.0957945518517,7.77637420446657,8.90199792179101,8.02403544700061,9.74955930351901,9.06874484032591
"ILMN_2427869",10.4102186650868,8.44123264625418,9.34644424720065,8.65509876892065,10.2605408206027,9.44081878595801
"ILMN_1219102",6.21775988696224,8.92546701231622,7.42048996570329,7.85273033100711,7.55594454009177,7.45728896175475
"ILMN_3122081",8.88872855128185,7.52144584003584,7.919223281596,8.17057936852869,8.51174189408457,8.2188042384261
"ILMN_2759003",6.68888434115044,6.86707043306609,6.94310070470315,6.77349897175126,6.60465096366634,6.79065890831231
"ILMN_2520011",8.01942153190158,7.31167133795652,8.0081449365126,7.4692203966026,7.39456523417115,7.79025517242983
"ILMN_1220874",7.26275196536633,7.21935756913792,7.64575001664041,7.03524898705916,6.95960169086512,7.32361837444381
"ILMN_3160472",8.21432307302889,6.79426245304031,7.5781283397078,7.09994471093699,7.86782434353563,7.47127365795798
"ILMN_2505334",5.75876526696321,8.73714088012101,7.23946610103659,7.27556298122793,7.16284844797324,7.31393476393067
"ILMN_2543433",6.72361398213968,7.14366691913518,6.68383281814372,7.31770515010389,6.98233479851539,6.75068903578673
"ILMN_1212732",5.76147944918693,8.77947760824961,7.45729403576797,7.14766800601667,7.2284275033253,7.24852456976314
"ILMN_1243921",6.55294649843892,6.74834541029464,6.53831594411225,6.71474888194739,6.5886147227143,6.7609042686932
"ILMN_2892479",6.80926092751583,7.46197502686095,7.32529235855557,7.11904812652406,7.13005863611225,6.96807278756168
"ILMN_1237049",8.729368013723,8.66625311194063,8.7616515137663,8.57798368019069,8.74560092218545,8.70600613518483
"ILMN_2892480",7.44304464139074,7.13976371325626,7.35494929106398,7.29090305656726,7.29640523069749,7.22335913096527
"ILMN_1228920",7.28043952312347,7.46369030642645,7.45175777022957,7.16059829386949,7.40870790237789,7.46719569262287
"ILMN_2642624",6.5648871088791,8.46978418585886,7.70951428329669,7.55344731969966,7.8106333589416,6.99574762753796
"ILMN_2523980",7.61183575725248,7.26925891564119,7.57742587244564,7.34985191149959,7.63410205391286,7.20080950792928
"ILMN_1253412",10.099500427985,10.0586032087469,10.2903778959487,10.0001028325255,10.0189263615347,10.006800183455
"ILMN_1230726",7.27941424107157,7.15447822152156,7.18136885960993,7.07667397579978,7.25389629117471,7.35584579860182
"ILMN_2495860",6.65156660139926,7.18234991060812,6.83405540809109,6.85064881898299,6.82665519234765,7.15647360459304
"ILMN_2722131",8.98884068991723,7.64944390707142,8.55618260444942,8.44189811302609,8.12963719291449,8.14885128358731
"ILMN_1226555",9.50419368357495,8.7347632340534,8.60484729713092,9.40803792921572,9.00020021810776,9.4648283908023
"ILMN_2984070",5.65827993376364,9.44441479875073,7.67803304808846,7.48096892938228,7.68686829539095,7.35951919216704
"ILMN_2686825",6.94672663214285,7.11787754305742,6.76300676277563,7.51663774603159,6.69536137264396,7.15420246894935
"ILMN_1253136",7.75369010299371,8.41610151159972,8.0382819236826,7.6420018664367,8.58876455460228,8.07053488446528
"ILMN_2728134",6.54744850719036,7.43024499011123,6.85405587540808,7.0657784003298,6.9227172357904,7.11283548307491
"ILMN_1258364",6.95535497029408,8.39541063228705,7.61115494782177,7.60115067973435,7.42686015042994,8.06236542717621
"ILMN_2882088",6.84306266703118,8.99425768104207,7.16799808199432,9.02107643327425,7.54715806516287,7.93840811571508
"ILMN_2769490",7.52272344952515,7.19921271367459,6.62627609891847,8.34363329476511,6.90093612471877,7.57302680799714
"ILMN_2776804",10.2293043661795,8.57660916117318,9.66430664123352,8.98653595370168,9.6189780863246,9.34200637344549
"ILMN_2801798",11.2702721943588,9.00943014767959,10.3550451340643,9.96048370961133,10.2632196706658,9.9806561697352
"ILMN_2461088",8.31380666514759,9.21114592997508,8.89681711171648,8.26700687968402,8.95839034562022,8.92769085322462
"ILMN_2416218",7.6378560404647,7.04784177527272,7.06505436576491,7.14964465697523,6.74110160110155,8.41559500763316
"ILMN_2450676",8.45267401201654,7.48556769411606,8.12115334667571,7.85548474359395,8.06331769469272,7.83652762730281
"ILMN_2420434",7.92594336960404,7.35024196683245,7.62184718445294,7.77891455099538,7.55918475711656,7.59242418030812
"ILMN_1239072",6.43326408694579,6.89293779684034,6.58960279846946,6.66416776676148,6.80521387219783,6.59341933014349
"ILMN_2622780",6.98017807212199,7.39722240825063,7.28703483389861,7.46484554158673,6.82679623450957,7.17612435075032
"ILMN_2468405",9.48733097692747,8.78538896588555,9.12876943164889,9.30236645781008,8.6387339154216,9.47557008074545
"ILMN_2993779",8.10557863242551,8.21035019049322,8.38425051516086,7.84700386418192,8.18273479266289,8.21786847383181
"ILMN_2754492",7.59518248024771,7.87045711121515,8.06466493897068,7.57974413770334,8.00274906678082,7.28412103947088
"ILMN_2740461",6.98512804215643,6.91287623007786,7.2682646734761,6.83432016698035,6.65480554625039,7.03861815776174
"ILMN_2993782",6.66383479641579,7.19691346566831,7.06150079678468,6.97813416285463,6.93782489791931,6.74403666660958
"ILMN_1218104",10.1682621301456,8.72617701431177,9.47748182083486,9.2198859864913,9.79261384492326,9.29889663666526
"ILMN_2472708",5.67141368265562,9.72073071701853,7.81869229127707,7.66852914793686,7.77530017496186,7.52176718517251
"ILMN_1228258",10.0195899566163,7.73378554183271,8.73272774424543,8.86744059594054,9.22755707357273,8.67902558313939
"ILMN_1227252",7.10098704288849,7.83808836457534,7.47031399875902,7.3441706373312,7.6831052967249,7.38056088211254
"ILMN_1245939",5.7649577871839,8.01248280891582,6.91848814588485,6.90118148660934,6.84788119189071,6.88733036781454
"ILMN_1253434",7.1525204168469,8.35054817490835,7.69815590382884,7.42894011070524,7.95931308739905,7.91972808157738
"ILMN_1245446",9.25902667943477,7.89141431978689,8.63034956079426,8.7784034435934,8.52231244772398,8.36981654633168
"ILMN_1228707",8.52692819700381,8.29551415657058,8.76152249862112,7.90140909873365,8.59300478043208,8.38894832936191
"ILMN_2614644",8.63545442349967,7.93950922229333,8.63649497777471,7.81839830913091,8.28872358643593,8.40631041824443
"ILMN_1254549",8.35646477704131,7.57770006418918,8.02392252852138,7.77892437440548,8.57051073755695,7.49497204197717
"ILMN_1220881",8.5201980648667,7.91097143108454,8.00158779261544,8.10119869922455,8.43316693381669,8.32638556624579
"ILMN_2497908",6.06154701165246,8.87604971764061,7.44937594407399,7.23191764047794,7.60315073650267,7.59074913753156
"ILMN_3130719",5.84413969235049,9.62670468499368,7.72154150541618,7.58373410842895,7.83031749015283,7.80609565069037
"ILMN_2747501",6.4544568392647,8.28279784134165,7.35820084970998,7.49549448358614,7.29755572658383,7.32325830133276
"ILMN_2809436",10.1339942742478,10.5204945889553,10.4496139326299,10.4695677590898,10.4633667793548,9.92642925533176
"ILMN_1242145",6.41194233221546,7.46505585907703,7.26661521789573,7.20491924811726,6.67439922730659,6.60806268926542
"ILMN_2889313",8.21038440995335,7.74398318144618,8.26332544231877,7.68713844426921,7.76687837950896,8.19139291670214
