"ID","Symbol","lung_tumor_myckras_rep1","lung_tumor_myckras_rep2","lung_tumor_myckras_rep3","lung_tumor_myckras_rep4"
192176,"Flna",10.3895036257911,9.43216343037884,9.83240053006427,9.76267270790953
192185,"Nadk",11.8624896519623,11.9389110602273,12.2809374706376,11.7685151801942
192187,"Stab1",8.58336488366735,7.79461893413014,8.12612366474034,7.70435758766768
192188,"Stab2",7.11286300007333,7.28678875913321,7.12673673310506,7.02990834948103
192190,"Pkhd1l1",7.3962630901113,7.13531251780023,7.2000311771779,6.90460531237751
192191,"Med9",8.57181188567749,8.74661928640032,8.60030785601172,8.52476206913972
192192,"Shkbp1",8.4452863344681,8.29021124167114,8.58221734474808,8.0878103615752
192193,"Edem1",7.57823115122227,7.88157285747403,7.89969678486158,7.47684744214455
192194,"Btnl10",6.71480359529293,6.49185309632967,7.19549524650911,6.66133275279519
192195,"Ash1l",7.57224325789934,7.36352910995438,7.36957991798178,7.10975804177758
192196,"Luc7l2",9.21343166553726,9.22074811635553,8.71887320467951,8.77019796269762
192197,"Bcas3",10.7780617248221,10.7812828633755,10.3917671830344,10.8199146169971
192198,"Lrrc4",7.08892071151815,7.02583166833203,7.35601172150278,7.29065247954945
192199,"Rspo1",7.2981771537197,7.27297962817597,7.21067134378562,7.24132777189496
192200,"Wfdc12",8.8194406690509,10.8518563808038,9.70296266065455,9.60185201894971
192201,"Wfdc15b",7.31908863585644,8.40845108596257,8.7658184057206,8.56750997952597
192212,"Prom2",7.43177736439158,8.03560177324932,8.68902647417852,8.19064427423954
192216,"Tmem47",7.09262164158081,7.02467648826915,7.02858914356395,7.09488637659721
192231,"Hexim1",10.1171032883258,10.1689384468895,9.84739507107357,10.626193844912
192232,"Hps4",7.2309210881379,7.17186482287345,7.61245387017484,7.28441927929373
192236,"Hps1",7.77165452814055,7.78451216219158,7.97810265478538,7.76167588388884
192287,"Slc25a36",8.86110629692746,9.33115488076144,9.41503529789923,9.45123687401376
192292,"Nrbp1",7.94794735791664,7.79731702102086,8.40839608835143,7.80122333788621
192653,"Ttc36",7.41193462479118,7.9452609273392,8.25346342413487,7.91921716087532
192654,"Pla2g15",11.3589807965325,10.7993271604194,10.7024703295819,11.0773373108094
192656,"Ripk2",7.66963803756167,7.55372527841731,7.25325657978115,7.50051825741831
192657,"Ell2",7.46755460656207,7.37335457944349,7.13301373873376,7.33004853558886
192663,"Abcg4",7.30802610887405,7.28505537548015,7.20670914935865,7.26062555606823
192678,"Rassf3",10.2441110737414,10.3090428549253,10.0254077927777,10.5735761869746
192734,"Lrrc75b",6.93058951287493,7.08500764131492,6.86997933289996,7.00323679460169
192786,"Rapgef6",8.57478272083875,8.56954710436913,8.28093022319003,8.63197277453487
