"","kidney_normal_batch1_rep1","kidney_normal_batch1_rep2","kidney_normal_batch2"
"ILMN_1234111",6.64684431268406,6.61790247612446,6.4872620571903
"ILMN_2622072",7.11369501600752,7.45431360113308,7.72745338690018
"ILMN_1222725",8.91402907675728,9.46601162071657,9.18332753396018
"ILMN_2868838",8.46052145049768,9.12786878678801,8.78277223578889
"ILMN_1249134",6.93192251075943,7.44244945855549,7.38308749810447
"ILMN_2717788",6.08582140498274,6.20490629952324,6.40201135946245
"ILMN_2850792",10.0730236131247,10.4393405696916,10.467762466231
"ILMN_1227319",7.50201260969127,7.51707575769114,7.24650430382904
"ILMN_2519673",7.46446397321782,6.9864301822013,7.19343564632962
"ILMN_2455406",8.1330456422885,8.19924717321647,7.69303812964525
"ILMN_1242714",7.29066702047473,7.65772989411037,7.08412301665959
"ILMN_2743756",9.93665989728384,9.76319685569264,10.1274333015912
"ILMN_3077377",7.73161610118967,7.68779745877581,7.61554525059416
"ILMN_3156343",8.31517541412215,8.33987894455921,8.15184288007835
"ILMN_1254157",9.73607816238111,9.15500662514271,9.77630155862657
"ILMN_2445477",7.14042762920401,7.41672180737936,7.45211230559457
"ILMN_1254344",6.18507428341584,6.60587821368204,6.88356271742438
"ILMN_1225488",7.14490743181734,7.2962758328122,7.18484890348208
"ILMN_2888110",6.69232967872653,6.53012733134917,6.62491043982636
"ILMN_1213053",8.27411014480183,8.87091907324372,8.37536212131804
"ILMN_2501489",7.2882124720978,6.7959811866776,7.39475280730654
"ILMN_1253093",8.26271839666645,8.5983475849643,9.11182636230632
"ILMN_2495363",7.71030943047631,7.58153276207932,7.67933828956748
"ILMN_1235619",10.8008076000692,10.8334414442387,11.3378698505456
"ILMN_1231129",12.4513986689021,12.5191395928735,12.433091736241
"ILMN_2454788",10.0499556065594,9.92781757174255,9.70685159490329
"ILMN_2951120",10.3502959325775,10.2448904895477,10.1107543572676
"ILMN_1213144",10.9038472713931,10.5603830720249,11.1274830288453
"ILMN_1249698",14.6523323978037,14.5818382599496,14.6906567719108
"ILMN_2462762",9.60491361041796,9.62433817590776,9.75319812849528
"ILMN_2429025",10.7998282514297,11.9963250048395,10.8543145643155
"ILMN_2699833",8.45961003423503,8.22222688622166,8.34191145125771
"ILMN_1259035",9.66481934232748,9.07590713782568,9.64264584791103
"ILMN_1222872",9.00664248513788,8.82699821420388,8.88142309502059
"ILMN_1252719",8.57072209404433,7.80374430875961,7.90120299462126
"ILMN_2478874",10.426648911213,9.84713511488593,10.2437712758417
"ILMN_1250081",9.92801355179458,9.58460662690788,9.81658143668727
"ILMN_1235834",8.4459028231635,8.12357924947086,8.53018236899887
"ILMN_2503768",7.91567443515491,7.75378942245549,8.0792771232
"ILMN_2518946",8.26665807766101,8.02454571208697,8.33960760054877
"ILMN_2421925",11.4447852950811,11.1514245971826,11.4442533182201
"ILMN_2491914",7.94691156897305,7.82852160912944,7.71145484523652
"ILMN_2826414",7.24444986413191,7.25162491642461,7.16103928172081
"ILMN_1245448",6.31528376105737,6.40365902486667,6.93297224254808
"ILMN_2497268",12.3385161602494,12.4093418327331,12.6997422351638
"ILMN_2460168",10.2268463306722,10.2073156007587,9.44158433191455
"ILMN_2435521",8.0294191189211,8.22625021995431,7.82384442628695
"ILMN_2507883",7.24673795331334,7.65783055935982,7.07463733724244
"ILMN_2679522",6.69146908164708,6.45946029191524,6.74716631977184
"ILMN_2782125",9.35172052965548,8.6626653416538,9.48038451976046
"ILMN_2562742",7.99028002610236,7.55436829116581,8.14443329178799
"ILMN_2462431",8.39053233597169,8.20427658439442,8.62040984222314
"ILMN_2795022",9.45287652947864,9.44339555185434,9.75780222734481
"ILMN_2460745",7.70157908220559,8.03434340121242,7.86339606045015
"ILMN_1246452",8.88326134390123,8.88800108442344,8.96649433699532
"ILMN_1223568",6.95629747223911,7.26459989562066,6.44975312261522
"ILMN_1212975",10.2384104655218,10.4212747358904,10.5003812730051
"ILMN_1213899",8.81432679688386,8.52360381624465,8.50923315025115
"ILMN_2727299",7.27247253870943,7.32247890900295,7.50255689451202
"ILMN_1227117",7.3844682931209,7.63808297860998,7.70635144009329
"ILMN_1258609",7.99031817589496,8.39406079310251,8.26101699203625
"ILMN_2449539",7.79067371171995,7.96897582489132,7.79649016513626
"ILMN_2842654",7.72121570212915,7.82286029997943,7.88105633143241
"ILMN_2685873",8.27992217885094,7.92942175857404,8.09486399626527
"ILMN_2780499",7.92661104381558,7.55839240312237,7.96467720036188
"ILMN_1233784",9.73478781059837,9.53506151661457,9.9076902644448
"ILMN_1258932",7.35137215450446,7.39842235010656,7.28468815120468
"ILMN_1245927",7.65480559988202,7.88676174279717,7.53021984992505
"ILMN_1235689",7.54860098800961,7.80278447626114,7.54788965604289
"ILMN_3123826",7.93579448933887,7.9948016516822,7.80667892908683
"ILMN_1242603",7.12080559492403,7.12918722214586,6.94920528129673
"ILMN_2499970",6.87271235094709,7.02029508079339,6.87936746971172
"ILMN_2508208",6.84486078737,7.01407574759686,6.92716110265062
"ILMN_2471045",7.50341300159643,7.2671826642612,7.52488657833978
"ILMN_1248522",8.08634225549853,8.10012557585728,7.76940092647374
"ILMN_2523102",7.11965395910232,7.1447612337321,6.99886862980876
"ILMN_3079949",6.85722691585588,6.86147792995441,6.76378457992055
"ILMN_2960335",7.27619061647096,7.07797657059722,7.22693368382861
"ILMN_1256698",9.05195541450766,8.55848611167363,8.95837424914188
"ILMN_1232063",7.2422061037147,7.24441734283465,7.24072160376534
"ILMN_2836924",10.9453835517954,10.6249867927602,11.1114390793619
"ILMN_1251642",6.82948867713113,7.01001800248282,6.92614431787279
"ILMN_2931779",10.6615970071834,10.7924163175442,10.2948177679323
"ILMN_2628053",8.27009848886517,8.19857635070127,8.38040301539079
"ILMN_2761879",7.29581434234375,7.60161461453552,7.13080340711984
"ILMN_1242852",8.56596528408466,8.58772953936382,8.5649242714405
"ILMN_2656894",6.92159728823444,6.4452719592445,7.29368693109746
"ILMN_1256643",6.84176078678551,6.81467923551326,7.474116742604
"ILMN_2934399",7.93053687569253,7.39032451670462,7.12891200250878
"ILMN_1242510",7.31764489283445,7.11363941084119,7.25127240972935
"ILMN_2426921",9.54333876466325,9.50654757959255,9.79544399019986
"ILMN_2541823",7.90416809077607,8.06025878916792,7.87223444114028
"ILMN_2974418",9.31282762523342,9.52613850174032,9.71356861635752
"ILMN_1240799",7.45560363598078,7.80924059059548,7.53029035588449
"ILMN_2706964",7.92315870519551,7.6569710214576,7.89386337980094
"ILMN_2755692",7.37110632843455,7.15724932640923,7.22136768646589
"ILMN_2640453",9.64850112832302,9.04525123744492,9.80015339763485
"ILMN_2680852",7.38579310936202,7.43775852768571,7.37771588447884
"ILMN_2425488",7.4935809717063,7.44387518188899,7.47874788794246
"ILMN_3162081",9.16129338738403,9.12706552798623,9.2240206100462
"ILMN_2426833",8.02726108503905,7.84800838096116,8.11764790618161
"ILMN_2791074",8.3227316784333,8.30305372711855,8.15613542510811
"ILMN_3124364",11.7365502712002,11.8524168634306,11.7564589361853
"ILMN_1241754",6.53068774654246,6.6144327127635,6.86041430944436
"ILMN_3151570",6.69103595629984,6.42447778994748,6.76107169919148
"ILMN_2423071",7.08219030140472,6.83529777919469,7.03320452245358
"ILMN_2546073",9.33943839559629,9.28413680680239,9.4299475259783
"ILMN_2994895",10.9811126552095,11.2407207967174,11.1674355845103
"ILMN_1223727",6.29202604818324,6.84137078443369,6.72906640053534
"ILMN_2466601",9.1893112054066,8.957151107144,8.87546365656938
"ILMN_1246011",9.6755663907276,9.86562714878781,9.64924645801118
"ILMN_3078932",7.27113864380222,6.98602222569443,7.15003794000143
"ILMN_1223780",9.69372673638969,9.46885287574408,10.0351356830257
"ILMN_1227712",9.71795115494465,9.73199281958725,9.74335964080023
"ILMN_2524043",8.07267448326045,7.95173831679592,8.05694069948182
"ILMN_2849571",9.78693909794311,9.60037860656131,10.4098131768636
"ILMN_2428388",7.97663455522425,8.29655546584444,8.67714141113301
"ILMN_2820260",9.12441976173366,8.96315986517946,9.36572684389242
"ILMN_2735438",6.85879304154167,6.95725426559981,7.6899214647832
"ILMN_2652732",6.93162923654833,6.5650940983891,7.05234988984387
"ILMN_2687391",8.21033847132123,8.02267254055049,8.27806958774441
"ILMN_2432829",7.60095800683694,7.67818661930235,7.75287487843886
"ILMN_1256186",7.37809819479439,7.41064842897951,7.26869649689112
"ILMN_1258029",8.25403125126694,7.11657710151886,7.69280433786842
"ILMN_2746483",7.43766465345642,7.47615572563623,7.57110919911486
"ILMN_1213072",7.06169783826817,6.55828917117062,7.23951312963502
"ILMN_2542885",10.8150788374065,10.3116756690709,10.6593935535567
"ILMN_2639350",6.75259367316848,6.46136302120033,6.96436815994713
"ILMN_1252496",9.09023932202236,8.65234689399677,8.95555426570489
"ILMN_2632519",7.22107312019996,7.20533260625668,7.75659423768259
"ILMN_1225370",7.49042286558678,7.23187107654226,7.57201195277193
"ILMN_3160146",7.21709540076448,7.41897490370224,7.29134738687436
