"","lung_tumor_myckras_rep1","lung_tumor_myckras_rep2","lung_tumor_myckras_rep3","lung_tumor_myckras_rep4"
"ILMN_2708297",9.42926288331345,9.22255342742343,10.7705761476336,9.44388891820718
"ILMN_1229238",10.6877638640322,11.3637822846149,11.2109946964663,11.0168387496758
"ILMN_2610204",10.7805500196743,10.492798302909,10.4227415279198,10.5784257653329
"ILMN_2848583",10.7977172468474,10.3419009895176,10.4137469147274,10.6656468093404
"ILMN_3162682",7.2694189297411,7.35760698432659,7.20077602591089,7.24685933393956
"ILMN_1234358",7.34307464919886,7.15532422905059,7.08527326986175,7.28013278159984
"ILMN_3109573",9.25853659083356,9.1422666386357,8.86967094941332,8.91229058335111
"ILMN_2624809",9.7371839543311,9.42761402897915,9.21898696184361,9.36925653338798
"ILMN_2997382",7.84103355846357,7.50467004377385,7.48356388812509,7.36057278148069
"ILMN_2997379",7.43905168059173,7.28777008619696,7.39325637174838,7.42532082275988
"ILMN_2690755",7.3734089602287,7.42807223313299,7.14749114556431,7.28938493590164
"ILMN_2690756",7.07055704217541,7.10852445677817,7.39059890555246,7.26514618231365
"ILMN_2823796",9.18929951010261,8.74556928996322,8.70422788389694,9.01612054591418
"ILMN_3007236",7.51614322148916,7.75930566279249,7.3391819338563,7.68154589622144
"ILMN_2960407",10.969620355702,11.245548992559,11.2300542203209,11.6195866743553
"ILMN_2878548",8.37183108463305,8.38255648309117,7.63226821549951,7.49383043697406
"ILMN_2895847",8.25319747594695,8.18509222663277,8.2178062735616,8.03871326715764
"ILMN_2848463",6.95731973565634,7.65629077758217,7.32305476034165,7.53449743373817
"ILMN_2848466",7.46086540384599,7.64390127329033,7.48497390119223,7.5042727849572
"ILMN_2650774",7.3202082342689,7.23290054654249,7.19000982460048,7.38580848726337
"ILMN_2602024",7.185742682247,6.94796561583471,7.15174594958759,7.01192606630681
"ILMN_3119327",6.98310048983146,7.09724207014118,7.24031432933371,7.23723984228154
"ILMN_1258620",9.30761351802195,8.88891444463932,8.75933687520742,8.96103361151049
"ILMN_2856144",9.55979530629879,9.49279204529929,9.07169698254126,9.26246927482634
"ILMN_1246126",7.76677734215128,7.72101371845977,7.47205615750236,7.44060966674842
"ILMN_2653681",7.26279957307656,7.50096633028298,7.42516344070766,7.43567026093655
"ILMN_1230862",7.68713506838487,7.82579357600073,7.73136146260816,7.63850379327693
"ILMN_2778409",8.26928742430104,8.1787270884492,8.34451784392747,8.36988356690076
"ILMN_2627995",7.22134544356244,7.44889062962926,7.33242822774375,7.27873982655011
"ILMN_2750578",7.63254087654689,7.79356266941009,7.79924114129518,7.69733684365343
"ILMN_2718612",9.30168909396247,9.31382544630052,9.25279846172018,9.04116288322533
"ILMN_2942989",10.8415594339108,11.2784494582205,10.3235825820432,11.1200839427722
"ILMN_1230693",8.07327130077881,7.92277020927466,7.87136624342848,7.71686232150853
"ILMN_2955322",8.45128839699654,8.73172208068658,8.86393457986417,8.68168863458223
"ILMN_2646556",7.6217771686244,8.04789073660383,7.6746115952932,7.83265270928043
"ILMN_1226275",8.67710297352267,9.0985420697527,8.39145842004967,8.98031811795754
"ILMN_2969314",7.18713552896357,7.45507030728796,7.55803798477699,7.37286506011259
"ILMN_2723383",7.32361776329158,7.14504053185259,7.35991424213757,7.43436760166891
"ILMN_1255439",7.44584255388934,8.08671676973269,7.58077675154969,7.82619094697247
"ILMN_2628594",7.03857610276879,7.56614919961309,7.40354467820201,7.53077208562198
"ILMN_2600463",6.95891515609135,6.93125460472269,6.77774845997228,7.18599039774227
