"ID","Symbol","lung_tumor_myc_rep1","lung_tumor_myc_rep2","lung_tumor_myc_rep3","lung_tumor_myc_rep4","lung_tumor_myc_rep5"
319713,"Ablim3",7.27855475088741,7.09032754757567,7.2711439170089,7.41419465512156,8.38370605183446
319719,"Simc1",8.38914731266308,8.97849596917249,8.4343415364824,8.08281433767227,7.98477446004684
319740,"Zfyve27",9.05680703558061,8.02911464546904,8.39424831092007,8.19312489853164,8.47347745702603
319748,"Zfp865",7.4207497582968,7.44003860049473,7.89589710758124,7.67326490173659,7.81000922751178
319757,"Smo",7.88728983232375,8.28787017351243,8.09966115031287,8.08021895299018,7.46802342519801
319765,"Igf2bp2",7.91023047298978,8.32910957749832,7.62379006157521,7.87571096094011,7.5319174975916
319772,"C130050O18Rik",7.32395545963164,7.38300221165717,7.16886012000564,7.16848409175654,7.53568848821808
319776,"Tmem72",7.19841434548664,7.05914163095682,7.06123616574775,6.80646906725014,7.03011533090807
319801,"Tigar",7.02257587903957,7.00183038481895,7.24691869799845,7.18109012395826,7.17117679765177
319822,"Smyd4",7.84325370938102,7.71261297493649,7.60700659585406,7.41198757064292,7.42474367128018
319832,"Tmem229a",6.82249116585498,6.90116859546033,6.85479048185678,6.77280941016073,6.77309798627251
319845,"Bbs9",8.69166842906018,8.07455924148195,8.39197687684599,8.41042355644698,8.24151026032078
319848,"Slc17a4",6.95259566011932,6.95441444334713,7.31989787715446,7.0440525318013,6.94942550114827
319875,"Tmprss11b",7.05504513061688,7.15222145360994,7.31741261376487,7.15076274435542,6.97559722960321
319876,"Cobll1",9.02488604003471,8.45931490182517,8.57173287376779,9.20350724213102,8.09851030619572
319880,"Tmcc3",7.6659798337506,7.87676632707836,7.50923067512774,7.70061310856746,8.00667671530899
319885,"Zcchc7",9.58372600274917,9.51758792652057,9.74847235577008,9.51476952721023,9.51428290558849
319899,"Dock6",6.94632147710713,6.87282875953489,7.0483506357335,6.95913257678966,6.9876548370974
319924,"Apba1",7.09849272407039,7.20371505425789,7.22773626325424,6.9859130740582,7.35441469276118
319945,"Flad1",9.3612584404646,9.75444911675926,9.88875276030573,9.68214969279343,9.52967456176464
319953,"Ttll1",7.73494238582437,8.02521478142436,7.84658760257045,7.84948234491154,8.23692286590629
319965,"Cc2d1b",8.92570278135133,8.9333125986692,9.26994483166344,9.09416017959884,9.30656016497743
319974,"Auts2",7.52285634468999,7.09020399193828,7.65510653507509,7.47911256886756,6.96970282906043
319996,"Casc4",8.72344763842292,8.62049477294806,8.59313430955607,8.40175951055364,7.33086087178526
319998,"Tmem198",7.34944710985639,7.23774773356118,7.42872655815391,7.50675385979461,7.22134544356244
320007,"Sidt1",8.10791994023775,10.0216219966439,9.56960050400668,8.61078263667263,7.20847824221171
320022,"Terb1",7.31171993756142,7.58251836961836,7.36970638940188,7.45054113359207,7.4197495500585
320024,"Nceh1",12.0564218026925,10.8565227944298,10.3984631406258,11.2860487146437,11.2802197966507
320027,"Fstl4",8.33128086626889,7.37853871688155,7.48721198320981,8.2251471727341,7.25797705856398
320078,"Olfml2b",8.77523988936762,9.70667947300105,9.27281929390675,10.3392724196492,10.7817490247106
320080,"Zbtb39",9.19621788942049,9.10392704298522,9.498425408706,9.06081412517555,9.25607597335368
320100,"Relt",7.62844554013718,7.85646443573415,7.74735382947806,7.72464174594756,7.78635131814654
320111,"Prr18",8.86571394201058,8.53077208562198,7.36970638940188,7.52258153125483,8.01299110163264
320118,"Fbxl13",7.23774773356118,7.16628863810861,7.19881334210727,7.05399373953262,6.94178124227853
