"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ILMN_1223624",-0.141649863817594,9.32239504105413,-0.373611211725695,0.718317836570558,0.91754969763691,-7.20868804953603
"ILMN_1224697",0.053732027993858,7.1551738371103,0.373396760332017,0.718471331105708,0.91754969763691,-7.20877612959675
"ILMN_2648687",-0.127586844279437,6.69145898855765,-0.373362609587864,0.7184957759058,0.91754969763691,-7.20879015157479
"ILMN_1258907",-0.265096084203623,7.07383627748908,-0.373348821095403,0.718505645684128,0.91754969763691,-7.20879581265055
"ILMN_2850342",-0.0877546667468296,6.95190074704611,-0.37334059594247,0.718511533260667,0.91754969763691,-7.20879918951631
"ILMN_2746123",0.30692734107966,7.45597489891022,0.373330503734583,0.718518757305174,0.91754969763691,-7.20880333280994
"ILMN_2922728",-0.124458717185263,8.03960227163043,-0.373300485443513,0.718540244700891,0.91754969763691,-7.20881565599453
"ILMN_1254957",-0.0584059841749269,6.80088851397331,-0.373176986132552,0.718628649552598,0.91754969763691,-7.20886634517428
"ILMN_2753697",-0.13226014686286,6.97115991126313,-0.373048765860155,0.718720438586145,0.91754969763691,-7.20891895488862
"ILMN_2644415",-0.0835073435959037,6.78120952671509,-0.373031176059335,0.718733030973514,0.91754969763691,-7.2089261707502
"ILMN_1218525",0.0593496607924369,6.64066884645924,0.372953518735615,0.718788626275901,0.91754969763691,-7.20895802417495
"ILMN_1257622",0.0839337505059756,7.21897945982702,0.372912114366066,0.718818268617461,0.91754969763691,-7.20897500477094
"ILMN_1252850",0.110898883869788,8.72335364902029,0.372907037900803,0.718821903010638,0.91754969763691,-7.20897708658544
"ILMN_2699923",0.144514263742975,6.98791104624155,0.372833191174413,0.718874772948306,0.91754969763691,-7.20900736739357
"ILMN_2765662",-0.136577513309579,6.80509209412729,-0.372826110592848,0.718879842315149,0.91754969763691,-7.20901027047766
"ILMN_3000108",0.0972705407490011,9.91071987386425,0.372826026852226,0.718879902269625,0.91754969763691,-7.20901030481154
"ILMN_2611022",0.0651624441710981,6.79842457683321,0.372799492265901,0.718898899930596,0.91754969763691,-7.20902118368687
"ILMN_2732696",0.166437361985809,7.36325880338811,0.372695692857136,0.718973217987851,0.91754969763691,-7.20906373306527
"ILMN_2710353",0.156637987616044,7.45547870501971,0.372533122100501,0.719089621400501,0.91754969763691,-7.20913035095013
"ILMN_2784144",0.126363544012291,6.99994542156523,0.372522726401566,0.719097065161858,0.91754969763691,-7.2091346099215
"ILMN_1242103",-0.0915402225385407,7.25038057202162,-0.372460757810301,0.719141437962319,0.91754969763691,-7.20915999519813
"ILMN_2618461",0.134932564689402,9.95275682483586,0.372459888856179,0.719142060187637,0.91754969763691,-7.20916035113398
"ILMN_1244721",0.0723037012657208,7.02299852144511,0.372338583604097,0.719228924493343,0.91754969763691,-7.20921003160176
"ILMN_2776957",-0.212191217386405,7.21811113292449,-0.372318433483622,0.719243354018289,0.91754969763691,-7.20921828255314
"ILMN_1244992",0.112781330287456,6.83747256356363,0.37221706576254,0.719315945376759,0.91754969763691,-7.20925978346045
"ILMN_1254344",-0.0528239836189357,6.64113461347306,-0.372193735078439,0.719332653353098,0.91754969763691,-7.20926933371848
"ILMN_2656031",-0.0592169855443805,6.61483041626988,-0.372077759704791,0.719415710039003,0.91754969763691,-7.20931679887186
"ILMN_3151298",-0.132223139168012,6.87514762607253,-0.372069894826003,0.71942134267788,0.91754969763691,-7.20932001720741
"ILMN_2847248",-0.0523859349812534,7.08974535415616,-0.371982828870339,0.719483698458474,0.91754969763691,-7.20935564050601
"ILMN_2685203",-0.294712937774108,7.67516779058409,-0.371906610959461,0.719538286807972,0.91754969763691,-7.20938681868256
"ILMN_2605703",0.0850263797934616,8.01993655550176,0.371786457723801,0.71962434573284,0.91754969763691,-7.20943595678303
"ILMN_1230991",0.419971240054952,13.0252763571826,0.371765156372496,0.719639603121887,0.91754969763691,-7.20944466662412
"ILMN_2682029",0.091747375185248,6.67670797104777,0.371741070213589,0.71965685532893,0.91754969763691,-7.2094545145554
"ILMN_2665441",-0.226450198134238,7.22625830988676,-0.371669078692425,0.719708421755159,0.91754969763691,-7.20948394552613
"ILMN_2449396",0.0732096438902303,6.76350769846717,0.371628548052956,0.719737453903535,0.91754969763691,-7.20950051249957
"ILMN_2503420",-0.206529586494037,7.16578749089908,-0.371598212536849,0.719759183588317,0.91754969763691,-7.20951291105536
"ILMN_2607873",-0.312919821337966,7.37928820606988,-0.371568062960436,0.719780780350513,0.91754969763691,-7.20952523264603
"ILMN_3154007",-0.170950148013532,7.98992623072183,-0.371562978716214,0.719784422325649,0.91754969763691,-7.20952731039019
"ILMN_2721188",0.0717789524490193,7.13936310107166,0.371548846623707,0.719794545547573,0.91754969763691,-7.20953308551386
"ILMN_1212959",-0.0498803684963001,6.8058332929131,-0.371158639644852,0.720074085157869,0.917654597472343,-7.20969246097717
"ILMN_1223097",0.24240732459451,10.2491963304513,0.371102830821737,0.720114069589009,0.917654597472343,-7.20971524220945
"ILMN_2590736",-0.13152554552855,7.06402461752178,-0.37099648152839,0.720190266454374,0.917654597472343,-7.2097586449614
"ILMN_2696806",-0.0496898305337563,6.60302517186665,-0.370927992311709,0.720239339189165,0.917654597472343,-7.20978659008109
"ILMN_2781784",-0.0982792524699958,6.78960809731448,-0.370916932199407,0.720247263922917,0.917654597472343,-7.20979110238469
"ILMN_2520446",-0.251493826027019,10.2225636200958,-0.370881069270424,0.720272960488111,0.917654597472343,-7.20980573284488
"ILMN_2696471",0.148264896741843,7.49597648334088,0.370867833967045,0.720282443964999,0.917654597472343,-7.20981113190735
"ILMN_3068231",0.368262390592134,7.7588571335263,0.370787141127722,0.720340263826279,0.917654597472343,-7.20984404481891
"ILMN_2426691",-0.175144349967274,13.6869493022483,-0.370782757287336,0.720343405089662,0.917654597472343,-7.20984583269697
"ILMN_2671204",0.267216954815428,10.803552536725,0.370762994977793,0.720357565944289,0.917654597472343,-7.20985389218015
"ILMN_2820831",0.0694993216121267,6.64185596667814,0.370668160845733,0.720425521760929,0.917654597472343,-7.20989256174708
"ILMN_3126848",0.0518757447001006,6.74732748354084,0.37057530982609,0.720492059085445,0.917654597472343,-7.20993041341833
"ILMN_2421299",0.0648116131657943,7.45332820281713,0.370528672819129,0.720525480261799,0.917654597472343,-7.2099494220155
"ILMN_1222902",0.214685188949392,7.30232861006997,0.370524750240667,0.720528291302905,0.917654597472343,-7.20995102069867
"ILMN_2446727",-0.0726835203857235,6.93997514176204,-0.370507591898352,0.720540587555027,0.917654597472343,-7.20995801354769
"ILMN_2962575",0.21289788656345,7.41429320488363,0.370422226469738,0.720601764610738,0.917654597472343,-7.20999279941038
