Name,Gene
mSE_10321,N4bp1
mSE_10322,Pawr
mSE_10323,Slc5a11
mSE_10324,Spc24
mSE_10325,Stox2
mSE_10326,Pfdn1
mSE_10327,Cuedc1
mSE_10328,Tcfap2c
mSE_10329,Pcbp1
mSE_10330,Golm1
mSE_10331,Tle4
mSE_10332,1500010J02Rik
mSE_10333,Tex21
mSE_10334,Gadd45a
mSE_10335,Usp29
mSE_10336,Col18a1
mSE_10337,Slc25a36
mSE_10338,Msh6
mSE_10339,Irak3
mSE_10340,Pura
mSE_10341,Mta3
mSE_10342,Cdyl2
mSE_10343,Klf3
mSE_10344,Tbc1d1
mSE_10345,Gcnt2
mSE_10346,Tob1
mSE_10347,Gapdh
mSE_10348,Zic3
mSE_10349,Mthfd1l
mSE_10350,Prss8
mSE_10351,3830406C13Rik
mSE_10352,Ror2
mSE_10353,Schip1
mSE_10354,Uck2
mSE_10355,Nanog
mSE_10356,Mylpf
mSE_10357,Gm949
mSE_10358,Slc20a1
mSE_10359,Hdgf
mSE_10360,Bcam
mSE_10361,Ajap1
mSE_10362,Sh3bp4
mSE_10363,Sik1
mSE_10364,Nrp2
mSE_10365,Rybp
mSE_10366,Opa1
mSE_10367,Mdm2
mSE_10368,Kif13b
mSE_10369,Zc3h11a
mSE_10370,Src
mSE_10371,Atp11b
mSE_10372,Mir124a-1
mSE_10373,Epb4.9
mSE_10374,Ltbp4
mSE_10375,Tcf7l2
mSE_10376,Vdac1
mSE_10377,4930465K10Rik
mSE_10378,Ddx6
mSE_10379,Tead1
mSE_10380,Gtf2ird1
mSE_10381,B3gnt2
mSE_10382,Dmrt1
mSE_10383,Klhdc4
mSE_10384,Isg15
mSE_10385,Mir290
mSE_10386,Ifitm6
mSE_10387,Mtmr7
mSE_10388,Gdf3
mSE_10389,Zfp236
mSE_10390,Nf2
mSE_10391,Spred2
mSE_10392,Fam63a
mSE_10393,Etv4
mSE_10394,Acbd4
mSE_10395,Spry2
mSE_10396,Txnrd1
mSE_10397,Lmna
mSE_10398,B330016D10Rik
mSE_10399,Slc44a3
mSE_10400,Myst2
mSE_10401,Pitpnc1
mSE_10402,G530011O06Rik
mSE_10403,Dppa2
mSE_10404,Mir410
mSE_10405,Rnmtl1
mSE_10406,Samm50
mSE_10407,Serbp1
mSE_10408,Nav2
mSE_10409,Agpat4
mSE_10410,Nfam1
mSE_10411,Ptprf
mSE_10412,Sgms1
mSE_10413,Dnm2
mSE_10414,Shkbp1
mSE_10415,Iffo2
mSE_10416,Ubc
mSE_10417,Nod1
mSE_10418,Dhx40
mSE_10419,Zc3h4
mSE_10420,Kirrel
mSE_10421,Cenpo
mSE_10422,Ehd1
mSE_10423,A830080D01Rik
mSE_10424,C330021F23Rik
mSE_10425,Enah
mSE_10426,Izumo2
mSE_10427,Pdk1
mSE_10428,Cxxc5
mSE_10429,Fbxo15
mSE_10430,Slc17a9
mSE_10431,Rdm1
mSE_10432,L1td1
mSE_10433,Gatad2a
mSE_10434,1110002N22Rik
mSE_10435,Gemin7
mSE_10436,Itgb4
mSE_10437,Inpp5k
mSE_10438,Mtss1
mSE_10439,2900041M22Rik
mSE_10440,Mtf2
mSE_10441,1700021C14Rik
mSE_10442,Gdf15
mSE_10443,Glis2
mSE_10444,Eif4e2
mSE_10445,Ezr
mSE_10446,Pigyl
mSE_10447,4930433N12Rik
mSE_10448,2310057J16Rik
mSE_10449,Srsf15
mSE_10450,Kat2b
mSE_10451,Lifr
mSE_10452,Gsta4
mSE_10453,Mir130a
mSE_10454,Epb4.1l4a
mSE_10455,Rnf125
mSE_10456,Tpd52
mSE_10457,Cpsf4l
mSE_10458,Cxcl17
mSE_10459,Ptprk
mSE_10460,Gm15698
mSE_10461,Mras
mSE_10462,Mir23b
mSE_10463,Gm6525
mSE_10464,Arhgef18
mSE_10465,Trat1
mSE_10466,Klf3
mSE_10467,Sox15
mSE_10468,Crlf2
mSE_10469,Rps13
mSE_10470,Chka
mSE_10471,Adam19
mSE_10472,Tlcd1
mSE_10473,Mir1965
mSE_10474,Zfp36
mSE_10475,Morc3
mSE_10476,Nqo1
mSE_10477,Sall1
mSE_10478,Kifc3
mSE_10479,Gpr133
mSE_10480,Lat
mSE_10481,Hnrnpu
mSE_10482,Kcmf1
mSE_10483,Cggbp1
mSE_10484,Tns3
mSE_10485,Iqgap1
mSE_10486,Ulk1
mSE_10487,Fasn
mSE_10488,Myst4
mSE_10489,Zfp281
mSE_10490,Zfp740
mSE_10491,Gpx1
mSE_10492,Polr3k
mSE_10493,Tmem154
mSE_10494,Vps13d
mSE_10495,Gm6792
mSE_10496,Mxd3
mSE_10497,Gnpnat1
mSE_10498,Ccin
mSE_10499,Rcor2
mSE_10500,Slc9a8
mSE_10501,Rhbdd2
mSE_10502,Vwf
mSE_10503,Lmnb1
mSE_10504,Gm9992
mSE_10505,Spry2
mSE_10506,Zbtb7a
mSE_10507,Actb
mSE_10508,Nfe2l1
mSE_10509,Pmm1
mSE_10510,Lrch4-sap25
mSE_10511,Olig1
mSE_10512,Gm16516
mSE_10513,Ppp2r2d
mSE_10514,Lgtn
mSE_10515,Gpr37l1
mSE_10516,Scarb2
mSE_10517,Dusp12
mSE_10518,Mll5
mSE_10519,Zbtb38
mSE_10520,Bahcc1
mSE_10521,Usp28
mSE_10522,Ube2l6
mSE_10523,Arhgap5
mSE_10524,Ftl2
mSE_10525,Akt2
mSE_10526,Manbal
mSE_10527,Enc1
mSE_10528,Gpt2
mSE_10529,Ptk7
mSE_10530,C80913
mSE_10531,Sdc4
mSE_10532,Klf9
mSE_10533,Adamts14
mSE_10534,Fzd2
mSE_10535,Phf17
mSE_10536,Gm5506
mSE_10537,Fam35a
mSE_10538,Slc10a7
mSE_10539,Gm6194
mSE_10540,Cox4i1
mSE_10541,Gm221
mSE_10542,Atp1b1
mSE_10543,Arl15
mSE_10544,Dock6
mSE_10545,Amotl2
mSE_10546,Rybp
mSE_10547,Psme4
mSE_10548,Tph2
mSE_10549,Ppap2a
mSE_10550,Ankrd54
mSE_10551,Xkr8
mSE_10552,Rbpj
mSE_10553,Mlf2
mSE_10554,Elmo1
mSE_10555,Spsb2
mSE_10556,Lax1
mSE_10557,Tspan14
mSE_10558,Abcb10
mSE_10559,Hsd17b3
mSE_10560,Sos1
mSE_10561,Alpl
mSE_10562,Fnbp1
mSE_10563,Bbc3
mSE_10564,Cyb5b
mSE_10565,Pgs1
mSE_10566,Tjp2
mSE_10567,Mtdh
mSE_10568,Apoe
mSE_10569,Nmnat2
mSE_10570,2610019F03Rik
mSE_10571,Kctd15
mSE_10572,6030419C18Rik
mSE_10573,Dclk2
mSE_10574,Flnb
mSE_10575,Bcar1
mSE_10576,Mdm4
mSE_10577,Tprg
mSE_10578,Mllt4
mSE_10579,Bend3
mSE_10580,Pltp
mSE_10581,Ulk4
mSE_10582,Snord47
mSE_10583,Snx11
mSE_10584,Zmiz2
mSE_10585,Mthfd1l
mSE_10586,Gm4532
mSE_10587,Dock1
mSE_10588,Aebp2
mSE_10589,Abr
mSE_10590,Rai14
mSE_10591,Gpr1
mSE_10592,Susd2
mSE_10593,Tcp11
mSE_10594,Rpap3
mSE_10595,Ino80d
mSE_10596,Agpat5
mSE_10597,Lmtk2
mSE_10598,Gpbp1
mSE_10599,Rps15a
mSE_10600,Ino80d
mSE_10601,Col14a1
mSE_10602,Mir182
mSE_10603,Nufip2
mSE_10604,Snapc5
mSE_10605,Ssu72
mSE_10606,Hmg20a
mSE_10607,Lin28a
mSE_10608,Mir181c
mSE_10609,Psmg4
mSE_10610,Tmco5
mSE_10611,Folr1
mSE_10612,Gadd45a
mSE_10613,Zbtb44
mSE_10614,Mir1901
mSE_10615,Clic4
mSE_10616,Scn3b
mSE_10617,Hmga1-rs1
mSE_10618,Epcam
mSE_10619,Rif1
mSE_10620,Zfp423
mSE_10621,Gm14164
mSE_10622,Ankrd33
mSE_10623,Pla2g10
mSE_10624,Zfp1
mSE_10625,Derl3
mSE_10626,Cpt1c
mSE_10627,Neurl1a
mSE_10628,Slc39a4
mSE_10629,Myc
mSE_10630,Pkm2
mSE_10631,Ctnnal1
mSE_10632,Rps19
mSE_10633,Snord43
mSE_10634,Slc37a1
mSE_10635,Nphs1as
mSE_10636,Ppp1cc
mSE_10637,Bcat1
mSE_10638,Tead1
mSE_10639,Gm7244
mSE_10640,BC032203
mSE_10641,Adipor1
mSE_10642,Cd2bp2
mSE_10643,Calcoco2
mSE_10644,Ppp2r4
mSE_10645,Cyp2ab1
mSE_10646,Gli2
mSE_10647,Traf4
mSE_10648,Dcun1d3
mSE_10649,Gm6724
mSE_10650,Tead4
mSE_10651,H2afz
mSE_10652,Zfp57
mSE_10653,Uba2
mSE_10654,Arid1a
mSE_10655,Ly86
mSE_10656,4933403G14Rik
mSE_10657,Mb
mSE_10658,Akap8l
mSE_10659,Sema3e
mSE_10660,Dppa3
mSE_10661,Fabp6
mSE_10662,Hic2
mSE_10663,Fbxo42
mSE_10664,Six4
mSE_10665,Phyhd1
mSE_10666,Hspb1
mSE_10667,Kpna1
mSE_10668,Actn1
mSE_10669,Rhd
mSE_10670,Siglec5
mSE_10671,Cldn14
mSE_10672,Dcbld1
mSE_10673,Wsb2
mSE_10674,Rsph1
mSE_10675,Ahnak
mSE_10676,Brd2
mSE_10677,Hs3st3b1
mSE_10678,Mir469
mSE_10679,D8Ertd82e
mSE_10680,Vpreb3
mSE_10681,Smg7
mSE_10682,Gramd1a
mSE_10683,Cradd
mSE_10684,Slc7a7
mSE_10685,Il17rd
mSE_10686,Ncf2
mSE_10687,1700096K18Rik
mSE_10688,Kifc3
mSE_10689,Gli1
mSE_10690,Itga6
mSE_10691,Adipor2
mSE_10692,Dag1
mSE_10693,Sp3
mSE_00232,Prim2
mSE_00233,Prim2
mSE_00234,Arid5a
mSE_00235,Tmeff2
mSE_00236,Klf7
mSE_00237,Armc9
mSE_00238,1700019O17Rik
mSE_00239,Ptma
mSE_00240,Inpp5d
mSE_00241,Dgkd
mSE_00242,Cxcr4
mSE_00243,Cxcr4
mSE_00244,Elk4
mSE_00245,Btg2
